ERR1018240	ERR1018195	ERR1018209	ERR1018239	ERR1018238	ERR1018237	ERR1018236	ERR1018235	ERR1018234	ERR1018233	ERR1018232	ERR1018241	ERR1018193	ERR1018205	ERR1018203	ERR1018210	ERR1018199	ERR1018198	ERR1018208	ERR1018207	ERR1018186	ERR1018192	ERR1018189	ERR1018227	ERR1018224	ERR1018213	ERR1018201	ERR1018200	ERR1018202	ERR1018185	ERR1018212	ERR1018187	ERR1018197	ERR1018196	ERR1018190	ERR1018188	ERR1018191	ERR1018211	ERR1018194	ERR1018214	ERR1018225	ERR1018222	ERR1018226	ERR1018228	ERR1018216	ERR1018221	ERR1018229	ERR1018231	ERR1018218	ERR1018223	ERR1018215	ERR1018230	ERR1018219	ERR1018220	ERR1018279	ERR1018280	ERR1018281	ERR1018282	ERR1018283	ERR1018284	ERR1018285	ERR1018310	ERR1018286	ERR1018287	ERR1018288	ERR1018289	ERR1018290	ERR1018291	ERR1018311	ERR1018312	ERR1018292	ERR1018293	ERR1018242	ERR1018243	ERR1018308	ERR1018244	ERR1018245	ERR1018246	ERR1018309	ERR1018247	ERR1018248	ERR1018249	ERR1018250	ERR1018251	ERR1018252	ERR1018253	ERR1018254	ERR1018255	ERR1018256	ERR1018257	ERR1018258	ERR1018259	ERR1018260	ERR1018261	ERR1018262	ERR1018263	ERR1018264	ERR1018265	ERR1018266	ERR1018267	ERR1018268	ERR1018269	ERR1018270	ERR1018271	ERR1018272	ERR1018273	ERR1018274	ERR1018275	ERR1018276	ERR1018277	ERR1018278	ERR1018217	ERR1018206	ERR1018204	ERR1018305	ERR1018306	ERR1018307	ERR1018294	ERR1018298	ERR1018295	ERR1018299	ERR1018296	ERR1018300	ERR1018297	ERR1018301	ERR1018302	ERR1018303	ERR1018304
unnamed Clostridium sp. D5 [Cluster1613]	0	0	0	0	1.02287017453945	17.3604077392	0	0	0	0	0.98924900544699	0	0	0	1.02274807425843	2.09046939399639	13.2605126930623	0	0	0	1.02486903882276	0	1.02838651417653	0	0	0	1.01498685267627	0	0	0	0	1.09016770157759	1.04606989818942	0	0	0	0	2.97506917548361	0	0	0	0	4.95249555274953	0	0	2.92026343811507	0	0	1.02276506165062	0	0	2.03572185343107	132.727006400453	0	0	3.04924322763296	0	0	26.8522013535106	0	0	1.02072571730435	0	0	0	0	0	0	1.98425629899963	1.03609591105467	0	1.99797868350177	0	0	0	0	0	0	0	1.03049386236866	0	1.02458915831695	0	0	0	0.338627208098065	1.95650364050153	0	0	0	1.00743601181682	0	0	0	0	1.02023451602146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02952189713549	0.960585635798109	0	1.03029685679917	0	0	1.01942263897002	0	2.06111243623377	0	0
unclassified Lachnospiraceae [Cluster1614]	0	4.17057402293608	2.04655757124592	0	0	205.714406938445	0	0	0	290.799882473811	0	709.291004058416	121.235195987009	2.09227724209836	2233.48763008686	5.2377102918011	0	0	0	16.415570401967	0	0	1.030656683082	0	20.161634769917	1015.37819031659	1.01722744175502	0.974828703858142	100.063546883108	0	0	0	1.04837910326268	0	0	1.92381254886032	0	0	60.0563486601479	19.6871100242819	0	0	0	0	1.03703438937111	0	0	0	0	0	0	0	1714.18940103362	0	0	0	0	1.03642687295537	165.784981527382	0	0	0	0	1.01331406631807	1.01664499349723	0	1.0259683953682	0	0	0	6.16970928401365	262.749118269626	0	68.6211802962668	0	0	0	0	0	0	0	0	0	1.02072314575021	0	0	0	0	0	0	4.03863972949085	0	215.287590688393	0	0	0	0	0	0	1.02175848543789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	671.171307817731	0	1.03398295988173	0	1.03113755967751	2.06566235331155	0	819.701865908518
unnamed Lachnospiraceae bacterium 2_1_46FAA [Cluster1615]	0	0	1.02060580615903	0	0	0	0	0	0	0	0	0	0	0	0	1.04628223628161	0	0	0	0	0	0	0	0	0	0	0	0.973656330191446	162.794087922764	1.01670929859165	1.03720981647944	0	0	0	0	0.960749441869208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01174932615444	0	0	0	2.05725684083645	19.3312282285816	0	4.14072167403216	227.438646430417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03055368897467	0	0	0	0	0	76.5333231962759	0	0	0	0
Coprococcus comes [Cluster1616]	334.729144492554	0	0	257.501482452721	1523.37951467831	0	378.026188117854	651.178182037643	114.79904581659	1873.97085174014	618.932369362987	0	2.47525211463999	203.78424696546	25.7280426869191	0	0	572.92442738075	486.473378710598	129.893807753748	252.720127482134	1.24523644922842	23.3891377718492	97.652798744431	174.867603610195	25.5595892657754	1137.20737611342	11.6535516731512	67.7662471867403	850.855075776203	148.839111440535	10.4450416301493	298.078169601735	133.262437588502	718.272302486078	68.9335421690146	413.844372004392	428.535942946137	401.939676853876	0	659.859169777508	126.352280842423	2287.20793564418	609.739224944307	1248.08727036712	200.416494479932	456.06842512564	85.0067441340686	85.6994751322683	63.950656252758	1255.19121638553	169.358688411893	3.69483528040682	329.183609932336	1.23006404349629	1.21667630862888	99.3968216797732	50.7538637165391	16.0919070988512	292.478984027842	50.4864309098422	109.965335786101	58.8182920858058	3558.21518176854	26.7139798794648	348.727716479306	267.138857161578	1.24587451978993	1060.98240757154	2.58548139491129	1.22817439126878	8.37072612869787	384.131113096456	0	1006.78093103018	3297.08034275289	0	1074.10170828588	7.16498402892524	271.430909579753	1238.59733340242	257.78640431734	2.42110720649565	3.65742816534513	725.546542985641	678.679228306962	678.00588993347	173.594261868228	1.2106315414759	907.467685714241	0	262.701386481101	8.58032214684337	4587.04235618273	494.507870442712	1424.56592531727	0	281.255857100959	271.458167410159	127.959621915608	131.362826536831	421.083121284123	685.617643166374	145.350526398977	244.832660727902	225.261489807637	400.226675835531	652.608677290287	92.9906388991598	2706.28545380096	3330.64441477102	3531.39009881647	7.47177107502856	1.21666578856098	316.229767177877	258.511733518399	688.037092242562	62.8506831421446	0	470.774446843563	0	38.1627745230879	0	1155.32719021426	1.23158160591396	1.2336044470939	474.626590056692	1.19541474760576
Blautia hansenii [Cluster1617]	0	0	0	0	1.02389529998998	341.422785037137	0	0	62.849097665987	253.371410247424	0	0	52.7825559166346	0	3.07131923201841	19.8793624893507	0	0	0	0	2.05179233508955	0	3.08825150438822	0	1.00686937320602	3099.83358270488	2.03200815484677	0	1.03034232862509	0	0	0	0	0	0	0	0	0	4.13683600989096	0	0	0	0	0	0	0	0	0	1.0237900817565	0	0	0	0	0	0	1.12001988540422	0	5.1759020925402	876.833537507138	0	0	0	0	4.04838163356419	0	0	0	0	0	0	2.05409643630921	0	0	7.26925110975686	0	0	0	0	226.507784915351	0	0	0	0	0	0	0	0	0	0	0	13.1097936979699	0	76.7925978827863	0	0	0	0	0	0	0	0	0	0	29.8719377341329	0	0	0	0	0	0	0	0	3.12409590348959	4.06969706945392	0	4.14622924699821	0	0	0	0	0	0	0	0	0	34.0424385363999	0	0
[Ruminococcus] obeum [Cluster1618]	124.247005418149	109.055581144178	249.348946047357	162.673879496508	1.04100543135317	0	60.914191906149	288.014769564275	23.4297644916222	0	1307.66039404278	264.206248582358	1.05224697598105	31.8702389363444	209.45583730941	8.55221115714989	0	45.6243145948338	94.1543669479656	15.627952538402	50.0659072823074	0	249.095458717715	81.9879524979099	80.8719040006239	2237.46600572175	140.48559823682	3209.62728872677	10.4756019513156	320.632225374592	26.3635611087016	623.428985900617	219.700946592053	47.6502003296175	105.935179609143	1856.39977598718	227.134883637101	386.304814889516	292.993912377444	5.26105934867465	49.286000143473	76.1372108484708	61.2005051251557	212.68398143786	125.364697656724	426.982943270632	223.964853453084	43.992822244909	47.8813289224835	513.394717523921	484.80184808259	78.2213876029623	1.04713353643484	161.289425168415	8.36953756202811	640.497332114662	114.690198563455	549.132541821302	1.05108787728231	31.9575545169493	6.28160039433547	104.921118291015	96.9545459226856	42.2033181694874	71.2349700793095	55.4949740095078	9.37672806747049	5.29629967043367	1540.0667870104	70.649199031398	78.3158278027308	3.05010359040387	71.6638066782399	17.948906645661	278.903182650115	889.544769681604	189.313392856033	68.1740959557211	5504.50006599083	97.5350785462048	110.429593236201	61.522538647128	484.767140213001	1324.51675429681	104.204228976078	45.4185921035924	1221.41954769043	63.8519742260934	83.3729647593301	1251.60944614724	5.12648812208398	107.603204345904	2.08202307363478	70.0279910020976	82.1000463355032	113.177211709439	195.750560957454	77.6116094900811	338.637422352899	69.5180985748479	135.471602006256	69.7556774783581	227.152764115947	16.7564812947684	93.6720679133004	94.2073652404445	18.7309164206815	60.9619445703675	111.310890905421	864.418602502484	1135.43798855589	150.354025126775	346.216930184132	0	348.487771300398	70.6098953937926	524.714513453663	198.029491534886	355.072214608148	103.092362973706	180.352971365614	15.699931169132	129.726940721072	563.360747064565	103.66368199051	0	56.7631174393112	2.0327166606934
[Ruminococcus] obeum [Cluster1619]	70.8043955832161	3.36568295556421	10.9950385811432	20.5665562404189	1.10433569068294	0	14.7329165398585	171.098173118662	12.4130700022015	0	73.7796139455754	0	6.68975501335223	7.87958567065785	5.5145798778305	0	0	13.1845769645384	25.4543052679428	20.9751802924183	6.63121914905751	1.12181525937831	4.43598553383512	53.8840594410671	26.0398128695513	736.833501174751	38.3091237269023	666.823390579064	2.21998612719091	165.391225716203	72.6304438214287	67.1246209727159	19.2682357862379	12.3420181059611	26.4114688146157	113.98657440395	10.7442745512314	53.7322648251295	49.5401494219897	1.11492197037126	2.22227084544969	88.4108094960871	24.8757366076665	286.454041212943	63.6039547932342	2.09944513207323	27.4656555269433	1.10987433936807	6.61760576706956	24.3743959333552	168.027515430595	75.1777340589004	0	40.8237495781608	0	1.09796193624032	137.853419117483	333.449635925625	2.22746197962613	10.5819288500506	64.341076867136	52.8352846353835	81.1049034838362	2.18067112609067	27.3479918084468	8.86519310443422	29.8066970160296	8.97912070233402	226.020815270011	27.8822534145531	2.21288860305478	4.30917967843138	66.5642172956359	0	68.8289999472402	51.813249556927	31.4782996616372	26.2680582520738	357.955147112262	16.6690337357021	22.9647787950984	17.6784219620293	1.09056999195636	42.8676272596786	2.12335826946171	41.5629021573412	261.623109134618	54.3477853766832	83.979295812974	105.843869775596	0	89.0203387232142	0	163.482075795787	8.75665631405905	1.10020539257421	215.222988259716	3.33393786673675	26.6978911445268	22.1507825491707	70.1290929643748	24.9999857605554	12.0894870173967	24.4133176108754	12.1311384864229	13.2464048224183	7.71837433880359	12.0431684853172	3.30686459802329	153.790587533038	5.41914393578625	63.2263694581494	19.0917651553286	1.09607637008776	54.7859155135999	12.2835734639395	303.929916060034	126.565167002719	249.64730820716	41.0776110942238	1.1110564679022	21.0717869818136	11.1257548889887	62.6618029721287	11.0951381124445	2.22267231840887	44.8361881716603	0
Synechococcus elongatus [Cluster162]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unnamed Ruminococcus sp. 5_1_39BFAA [Cluster1620]	665.780352112344	360.624673525172	1419.06834360607	1589.41115185482	666.092448466431	1409.89515643203	286.869614930586	241.005366390648	488.783587807499	1976.03756905182	657.324426655169	881.917909854885	173.732656333137	191.122487231067	1617.05394062798	372.136722573671	505.020647254326	46.8765887650669	549.011649368142	187.377053853885	114.844507879421	1.04048196799138	135.774207337729	488.55442914402	4931.6270484585	1578.04286997096	497.402275517996	3782.09655813425	47.3577773614031	1467.74534689622	317.131938908728	549.554564559581	271.564900602687	88.4556615104782	280.690181438459	1191.45586710034	711.522313418421	579.262791242495	161.573154869868	84.7952531289249	72.1403504876253	39.9754353401733	185.260430274809	3676.75695561109	2728.10227049061	2788.43651958662	3645.57994259407	114.264152870639	814.794679387109	359.660248425787	1152.17082792389	249.425872153866	541.305331962413	208.621399892091	2913.87452499875	2962.79860334913	297.293331545756	197.947515702799	684.86827273494	69.6845341042559	137.872720478354	508.42321402855	633.893271052184	12393.9609548256	21.3067859111818	819.09653957848	69.6261235650195	297.730324457679	2623.74727081462	4355.57693488139	226.795819515822	3.99675767891362	1895.54388249121	292.260437603698	218.282733194356	504.084225311941	293.736205781782	457.589149976172	3961.1053507899	380.328392280975	404.313636259305	216.747102613273	839.546684394649	205.91036711517	230.658992807832	425.059283808814	2843.60960029254	531.579796965468	654.483947486733	936.086503331899	892.767074406123	110.740031914996	276.231879634287	2218.28938137765	322.84097672115	1388.50750825915	1086.01009450775	236.03964041234	661.647425104938	408.904553516472	297.782439317481	1301.52160736126	199.794935054576	119.392026721881	424.69596747964	237.057597356567	116.58585557443	46.7109955711301	208.563612424256	1617.79640723464	1106.2607069499	2945.11478451741	153.99859406178	348.696951085041	224.633876417463	345.932785711674	5711.24788139897	594.15310803686	1403.50270222281	159.200984979655	1631.28657360699	41.1453700497659	268.297144635203	420.086245446569	45.2791853063117	149.460579656515	643.053785671438	117.864590143666
unnamed Ruminococcus sp. SR1/5 [Cluster1621]	429.529901236354	51.6405918533579	0	520.658798550689	18.7639654446954	0	128.49044627512	373.756238551507	5.6459620472416	0	511.324171651656	145.625204153262	22.3136383368152	114.891247270135	27.5907729194394	0	0	74.7610336133112	29.9005107642306	3.3632003533113	12.1651157689477	173.9940800039	145.372699867219	23.3848313673024	313.6971127074	2.19195232466599	83.2394490086779	428.238795155712	9.99641333137317	156.346750387698	11.1811576802419	979.926495008239	71.1142185626948	41.5409714858592	39.6428842093189	764.610933669248	2.15024785854592	50.2954686496084	26.757141123612	5.57822347103425	18.9015467642306	63.0335354101492	26.7331516141051	95.5465762645594	270.412037003495	3.15120907734371	964.088449039677	28.8754385708626	16.5547387139688	130.820142737384	1058.375856875	31.8523609707226	1.11026021246451	86.0580510295122	0	0	265.609441165461	416.241170108112	1.1144529416215	45.5317899243114	137.645953210189	58.3767770759616	116.866768273218	0	32.8388634567634	5.54433735774563	0	171.837000858737	618.800702599822	1162.75572579933	22.1432305979833	11.8579257778183	212.822026507708	59.7115033898139	1348.41694256017	558.34061810838	64.0473663909216	395.37150112803	49.8526357751654	4.44795708614443	257.460816369559	45.3303216339736	0	21.9803951394697	64.804408048672	55.8179490653174	104.589271959796	394.355320326217	392.884988066869	88.3498617023285	1.08710791767788	3.28003986351627	0	5.44851961549868	90.3877699411058	53.9450102587613	614.843204805994	139.004125800003	82.2828082070303	31.903900919441	160.085698160757	398.083742295574	56.0875919944952	8.88332473135569	22.0709131494557	240.386618315734	14.3434155549757	139.133986474601	59.5621476149579	586.053971506076	60.7337559088618	271.613298077712	16.8389309231953	0	88.810715446076	294.996864536752	502.364855159642	37.7719749451206	212.49324899763	61.1008954527919	157.872289413444	26.6342479678239	106.264417543768	48.401869705427	68.8344478202526	1.11205655861619	41.5824289166285	1.10292495491568
Blautia hydrogenotrophica [Cluster1622]	0	0	0	25.5981058047539	0	0	0	0	0	0	0	0	1.06791642422731	0	0	175.976016239888	46.3576806478838	0	0	0	0	0	2.12441044541783	0	0	0	0	0	0	1.04909259372776	12.8429529044449	0	0	0	0	0	0	0	0	0	0	0	0	43.1589912227089	0	2.01086461357417	0	1.06304613559742	0	0	0	1.05133349907288	0	1.05607260139629	0	0	0	0	0	0	6.37514232368235	0	0	0	0	10.6139372457691	0	0	15.3713174103477	0	0	0	0	0	6.17577700749062	0	0	0	0	3.19314561447928	3.14226298124098	0	0	0	0	0	0	0	0	0	47.8660248973337	0	32.7519238771564	0	0	0	0	0	4.09143111115793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.6898533355305	0	0.992174698071511	0	0	0	0	63.1767941139559	52.0723401310816	0	0	0
Marvinbryantia formatexigens [Cluster1623]	0	0	0	0	0	0	0	0	0	0	0	1.03535576270787	0	1.04908608345504	0	0	0	1.02397826394944	0	0	0	0	0	0	1.01092197684138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.85881142097	0	0	0	0	0	0	0	0	0
unnamed Lachnospiraceae bacterium 3_1_57FAA_CT1 [Cluster1624]	11.2063988721808	0	0	35.4393024169852	0	0	0	17.1976921059493	1.03915340443961	1.02177287644216	7.85891355450749	0	2.05344041007716	0	22.3438626809754	829.330236502378	8.10352269319829	333.881256288799	1.01912289326984	3.04976588212125	0	0	7.14860524211241	1.01264534788667	0	0	0	2593.47371109716	60.30668020941	1.00862252747539	57.6217592696943	60.6245098616019	42.5903750117073	0	0	21.9214786649763	0	24.6196981877861	0	0	0	3.05302091948981	23.6065343794133	5.92772555071435	0	59.9320824429438	2.02098957805805	10.2203779391798	3.04694097308601	12.2429357979032	9.03331805401876	14.1508778190979	0	0	0	0	145.283933961845	116.044980552165	0	0	3.06460659524798	4.05448735909161	1.99163151340171	0	0	1.02044912673083	1.01658391611051	72.3494123602013	9.85223300577071	0	8.15103370113078	26.7849920188917	0	0	1.97917954737305	16.2426206266212	9.66235870173275	0	0	2.04664400424303	5.03507705783128	0	0	18.2049596012964	0	2.01439859227687	19.428870910051	5.10680084244889	0	32.1205185692564	1.00042462577316	0	7.11030130804148	51.1434952398856	0	16.2101449131396	0	2.04672449935148	6.88379826790317	0	1.0090469946747	0	0	0	2.03110332184691	6.06078862904858	3.04608626222192	0	0	0	0.998053512293742	1.00383745641037	0	0	4.03600834748031	3.08493801649544	0	6.13414080846449	0	0	0	0	10.2452517182157	85.0355377525088	12.2604695801306	28.6547498691033	0	0
unnamed Clostridium sp. SY8519 [Cluster1625]	0	0	0	0	0	0.986245421292555	0	0.983848767456734	0	0	0	0.99491061398093	0	1.00810457332974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98853708025893	0	0	38.8592431782123	0	0	0	0	0
[Bacteroides] pectinophilus [Cluster1626]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00788938794664	0	0	0	0	1.00817085839298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.982683058032941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01274413676544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium eligens [Cluster1627]	1052.60693088116	3104.29671770817	1.0058874687727	0	95.867304801808	1.00748223498692	1.02151372607709	3121.60415056624	76.3960456042246	20.3022354627722	807.118922156901	0	954.74513094154	1298.59303281228	3.02702719252071	2.06238722908296	2.01267362821485	15.0774831891488	24.2994975752859	3.02988396309517	3139.08999698603	2.05259836672499	6025.51321279171	48.29009992435	3.9693965254246	9.01809543925207	3.0040563071505	2.87884517858067	4.06193431648405	444.908936123887	1265.54801278685	9.67970713455285	9490.75861325373	626.146517145761	2.01355709338347	517.951184140761	0	52.8318684951744	323.116353640391	424.31701229402	1075.48733601577	1018.11653493632	1.95438662903446	427.104529749073	1.02084993327465	6.7224133589903	8.03125767526982	1.01537496357438	2.01805164673378	770.331067052179	1894.60154831112	1098.58119913296	161.396127590366	300.11126033365	11.151738262373	2751.13318638658	234.059682817639	444.829827550443	1.01890324255715	121.011735738306	1401.54372248919	3777.77682931395	3894.96616674679	0	146.113696637518	1.01379665316661	1584.62196891626	21.5633264377392	3420.39029161089	3.06653278139491	5433.31288798535	0	2157.29758829132	0	169.09981808802	3.02563731472039	3946.30027372915	2528.25906855824	417.647220454088	759.438147462619	111.050007117563	1351.5182161151	61.8582847156252	150.718987611812	3759.17409842482	2805.77549384146	39.5695324384878	28.4116491594988	2675.1208642622	475.805474117007	5396.8912665849	4917.89228927655	3.02740632822774	11817.3718352227	4654.94350145859	6521.74401086649	1491.52782892975	996.356969290176	165.111108869706	1606.28245458329	2361.81661875389	11.9328947888408	4290.78720143152	906.584353591597	1614.27705261298	6604.33772184559	10831.4348585437	1210.95224894768	3062.61630374122	2025.74514980431	1.98309407875355	1214.70321141339	2.05269517483334	1.00275181151252	135.359132103961	18.3889608276834	21.1516820995341	41.6433675476256	2.84304504060199	2147.14353631258	0	28.4091629515877	219.854763185218	251.432075218108	155.301905247052	3061.31189886695	2643.20154750101	17.734268250929
Butyrivibrio crossotus [Cluster1628]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02194391202993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0102938954328	0	0	0	1.00350246285974	0	0	1.01513141704792	0	2.01827974536766	396.50702967764	2.05348513238036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185.139252471997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04957761585688	0	0	0	0	0	0	0	0	289.983242917538	0	0	0	0	0	0
Eubacterium ventriosum [Cluster1629]	10.2018355469022	659.006128880779	6.08339589836012	879.331124467219	6922.90468038536	5639.06078709497	1.02965003612151	2283.80299421822	3.12180553818807	5.11598545960538	990.749074329111	0	202.545809337792	2210.50475259751	164.761415575698	0	0	73.9615299741593	224.519551305435	0	258.865348245669	1.03447360935503	39.8834583472933	132.841446145439	1.00025314673931	0	2.01865565203715	15.4761335924337	182.195790959156	2.02005682623406	377.124284634855	1.08408950650707	2.08047513801591	20.6929096878121	1.0147974917072	12.4076715554184	0	147.924088633664	66.7818531196481	4.11246805638336	6.1477516638456	35.6682249531394	3634.46530717415	863.686255696128	0	0	44.5237445115864	367.422993937727	2.0341253356763	75.603338401807	147.749851864421	27.3290186452548	54.2272134516417	1119.44011181877	0	0	5.89809893679259	198.476984434841	4.10807504087958	2856.37207908662	148.32911537819	145.1499612121	681.090189531345	0	2.01749980191027	8.1749719766298	14.252012584165	182.160648226841	838.607085187534	0	0	46.6907169090173	448.73740391126	0	703.588082442728	1206.08204338366	742.135911305215	973.962229055215	569.111521586864	53.2869155975295	1111.27780092649	681.674839529685	176.996339180404	550.961232335461	438.600748840402	2.01720639596981	223.072926315236	65.4581637573568	1314.54977127424	562.228560125931	3.00545725389081	80.0872626059399	2.0343463206543	0	212.975107212665	2663.47810470264	2.05664538957239	313.585336242037	17.7258686581081	787.741001213076	1619.75691556329	3.00698493733136	5100.27874550187	20.4659631903197	300.044589702355	2.02307885407443	18.3019926077826	5.04796289557799	409.6361510181	494.989463962024	0.999444666134055	1.00523667229943	0	0	556.735084363436	33.9816181072304	258.887587670438	9.21403647723056	42.9853464621483	234.442859460608	0	0	0	341.630002805355	13.3006889642273	1746.27689597401	15.1263504548007	0
Thermosynechococcus elongatus [Cluster163]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium rectale [Cluster1630]	2183.04201496593	3.10487604924658	2.02860652068821	0.986189972637332	3.0527173217032	1.01591136922386	1746.37301052636	5442.58480711165	7.28711499930035	72.6759365517058	7140.52747321333	2.04967441629298	2330.71908658199	117.342368247361	28.488627235001	11.4380324392229	1.01475636514179	1152.43511328348	751.419204435629	1.01841119662601	4.07824380867003	0	467.538515751297	6558.34645611514	4892.18593625514	11446.2996679923	3811.42526266234	1.93528742283869	0	849.772315310052	65.9715031001237	22.7749497082169	1008.96316042966	11.3856346312163	1060.56327510693	0	0.991170028819773	13.811748769795	0	549.233216397901	119.567708445582	148.846730531254	510.421160376224	420.633333754335	1.02939090881201	26.1462471094662	549.682393158688	1182.57000314413	8583.69567036558	100.163229822547	352.448691238131	14.1762479187736	1070.64648195155	4035.04829623309	1.02227633256305	4.04460044589615	352.060110361385	9.25909083096206	2137.05009656474	1138.24159323396	18.4206054591658	2785.79405108807	2862.70404430074	2.01169083365057	0	0	2665.16975009007	12.4249924220644	3456.43770937569	2.06145935450479	1.02070588852058	470.074633762741	1804.54439579141	1.03205161600959	11094.195383138	4.06793521570109	3141.89292634267	9847.01011103086	1543.87277548115	3164.6585574388	1308.44060053435	1120.00080460617	1.00606167983066	407.306354776866	1135.13569891151	193.876483916975	38.9274070942814	1205.31680989294	97.5942658825963	3164.38409222581	3.00665464721906	5792.94535419297	567.808751997786	2.00922301040063	425.4969685019	1.01495043287075	6355.50867516554	65.6126056238318	108.367910182737	200.842724890669	4587.14936015333	2388.49725380309	5390.21909489151	516.971453253	1712.22510263841	1.01194243079301	6871.0462584399	977.67497340322	10335.0277071061	5.99016134177147	19983.5144539634	881.943793702825	24.838429422326	8.08913094801019	4968.89204297722	1296.96673212211	97.5023925216544	141.338180257503	1.91122098214173	268.334065080575	0	2.04620351253467	1.02636196993838	1.01414276076021	6.14122525084428	0	6384.8542221355	29.8044043446888
